trade_date,ban1,ban2,ban3,2to3,3still
20220101,42,10,14,0,0
20220104,78,20,13,5,8
20220105,30,19,13,6,7
20220106,70,8,11,6,5
20220107,28,7,10,2,8
20220110,57,11,9,4,5
20220111,46,6,9,5,4
20220112,73,15,9,1,8
20220113,30,18,11,6,5
20220114,43,8,15,7,8
20220117,69,11,15,4,11
20220118,30,12,6,0,6
20220119,42,6,11,6,5
20220120,25,9,10,1,9
20220121,43,6,7,4,3
20220124,46,11,4,1,3
20220125,19,5,7,4,3
20220126,47,7,3,0,3
20220127,10,4,1,1,0
20220128,55,2,2,2,0
20220207,86,11,2,1,1
20220208,58,23,7,5,2
20220209,73,13,19,14,5
20220210,39,9,15,4,11
20220211,38,7,10,3,7
20220214,71,8,9,6,3
20220215,49,12,3,0,3
20220216,54,8,8,5,3
20220217,35,9,4,1,3
20220218,39,5,11,7,4
20220221,68,19,13,3,10
20220222,26,8,19,12,7
20220223,66,7,17,4,13
20220224,21,4,14,5,9
20220225,47,6,10,2,8
20220228,33,6,7,3,4
20220301,44,6,6,2,4
20220302,44,11,8,2,6
20220303,53,18,11,5,6
20220304,32,6,13,7,6
20220307,40,8,9,3,6
20220308,15,7,2,1,1
20220309,38,7,5,4,1
20220310,71,14,7,4,3
20220311,52,10,6,3,3
20220314,30,9,6,5,1
20220315,19,5,7,2,5
20220316,112,10,8,3,5
20220317,78,14,12,5,7
20220318,93,11,16,9,7
20220321,86,27,18,8,10
20220322,53,17,22,10,12
20220323,57,9,15,3,12
20220324,50,9,15,5,10
20220325,60,10,11,3,8
20220328,47,14,8,3,5
20220329,44,6,10,5,5
20220330,69,7,8,3,5
20220331,36,8,8,4,4
20220401,62,11,8,5,3
20220406,60,17,13,6,7
20220407,24,6,10,4,6
20220408,58,8,8,4,4
20220411,42,12,5,2,3
20220412,85,16,6,4,2
20220413,37,8,11,8,3
20220414,63,8,9,3,6
20220415,31,7,5,2,3
20220418,69,13,4,2,2
20220419,47,12,8,6,2
20220420,39,13,7,4,3
20220421,22,9,5,3,2
20220422,65,9,5,3,2
20220425,17,8,4,1,3
20220426,36,3,4,4,0
20220427,129,10,3,1,2
20220428,69,13,7,6,1
20220429,208,26,11,5,6
20220505,113,42,12,6,6
20220506,57,18,26,19,7
20220509,127,11,20,4,16
20220510,70,23,21,7,14
20220511,59,12,23,13,10
20220512,66,6,13,4,9
20220513,83,18,10,3,7
20220516,74,22,13,7,6
20220517,67,11,9,4,5
20220518,87,19,7,2,5
20220519,59,18,17,11,6
20220520,84,11,12,3,9
20220523,78,20,12,6,6
20220524,26,9,13,7,6
20220525,91,13,13,5,8
20220526,54,14,9,4,5
20220527,64,13,13,7,6
20220530,72,16,13,5,8
20220531,73,16,9,4,5
20220601,66,8,9,3,6
20220602,66,14,9,5,4
20220606,64,15,8,5,3
20220607,51,15,6,4,2
20220608,60,13,7,3,4
20220609,33,10,7,4,3
20220610,84,4,12,5,7
20220613,59,12,8,2,6
20220614,50,12,9,5,4
20220615,44,10,5,1,4
20220616,53,9,4,1,3
20220617,58,7,4,1,3
20220620,72,19,6,2,4
20220621,43,8,6,3,3
20220622,56,14,9,4,5
20220623,89,15,8,2,6
20220624,80,20,12,6,6
20220627,74,14,17,8,9
20220628,87,18,26,12,14
20220629,41,15,14,3,11
20220630,73,9,10,4,6
20220701,61,11,4,2,2
20220704,75,16,4,2,2
20220705,34,5,8,6,2
20220706,41,5,9,3,6
20220707,66,13,8,1,7
20220708,49,13,10,6,4
20220711,50,9,9,5,4
20220712,35,11,11,4,7
20220713,77,14,14,6,8
20220714,56,10,6,3,3
20220715,44,7,7,4,3
